cell_id,B2_mean,B2_std,B3_mean,B3_std,B4_mean,B4_std,B8_mean,B8_std,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,EVI_mean,EVI_std,GNDVI_mean,GNDVI_std,comp_built_up,comp_water,comp_vegetation,comp_other
C0000078,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000079,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000080,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000081,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000082,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000083,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000084,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000085,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000086,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000087,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000088,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000089,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000090,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000091,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000092,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000093,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000094,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000095,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000096,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000097,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000098,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000099,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000100,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000101,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000102,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000103,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000104,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000105,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000106,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000107,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000108,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000109,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000110,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000111,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000112,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000113,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000114,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000115,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000116,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000117,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000118,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000119,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000120,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000121,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000122,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000123,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000124,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000125,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000126,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000127,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000128,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000129,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000130,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000131,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000132,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000133,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000134,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000135,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000136,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000137,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000138,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000139,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000140,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000141,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000142,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000143,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000144,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000145,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000146,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000147,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000148,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000149,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000150,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000151,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000152,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000153,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000154,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000155,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000156,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000157,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000158,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000159,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000160,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000161,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000162,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000163,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000164,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000165,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000166,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000167,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000168,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000169,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000170,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000171,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000172,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000173,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000174,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000175,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000176,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000177,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000178,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000179,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000180,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000181,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000182,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000183,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000184,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000185,0.09200000017881393,0.006700001657009125,0.11310000717639923,0.015700001269578934,0.09894999861717224,0.010650001466274261,0.3398500084877014,0.015049993991851807,0.5484651327133179,0.05306917428970337,-0.5007055997848511,0.06860680878162384,0.4842410683631897,0.051121413707733154,0.5007044076919556,0.06860664486885071,0.0,0.0,0.02,0.98
C0000186,0.050554998219013214,0.008300193585455418,0.07567500323057175,0.011991647072136402,0.06275999546051025,0.011841383762657642,0.2982800006866455,0.020159270614385605,0.6530062556266785,0.0573849081993103,-0.5958434343338013,0.0534648597240448,0.4550507962703705,0.050237178802490234,0.5958417654037476,0.053464703261852264,0.01,0.0,0.09,0.9
C0000187,0.11913500726222992,0.06542056798934937,0.13779500126838684,0.07193448394536972,0.14251001179218292,0.07359635829925537,0.2410000115633011,0.05818446725606918,0.295121967792511,0.1396295428276062,-0.31051376461982727,0.13634692132472992,0.20436599850654602,0.06291364878416061,0.3105127513408661,0.13634636998176575,0.1,0.0,0.0,0.9
C0000188,0.18222500383853912,0.015836412087082863,0.21278750896453857,0.012511839158833027,0.2253125011920929,0.009531715884804726,0.3134562373161316,0.012027820572257042,0.16355563700199127,0.02724599279463291,-0.19156521558761597,0.03197503462433815,0.17015282809734344,0.028192996978759766,0.19156485795974731,0.03197497874498367,0.1,0.0,0.0,0.9
C0000189,0.11565417051315308,0.04222097620368004,0.1536666601896286,0.04325402155518532,0.15056666731834412,0.05295464023947716,0.3644125163555145,0.014001653529703617,0.4284917116165161,0.142238587141037,-0.41519808769226074,0.11680012941360474,0.38189685344696045,0.10333721339702606,0.4151972532272339,0.11679983884096146,0.1,0.0,0.03,0.87
C0000190,0.061762504279613495,0.028574645519256592,0.09936749935150146,0.025411853566765785,0.0766800045967102,0.03806116804480553,0.38038501143455505,0.05032765865325928,0.6645908951759338,0.148511603474617,-0.5828778743743896,0.1033388003706932,0.5490177869796753,0.13041234016418457,0.5828766226768494,0.10333862900733948,0.05,0.0,0.15,0.8
C0000191,0.04471749812364578,0.0021626530215144157,0.07157750427722931,0.002862755209207535,0.061612505465745926,0.003061898285523057,0.2777850031852722,0.021988382562994957,0.6355977654457092,0.027056140825152397,-0.5889877080917358,0.02372998557984829,0.4113840162754059,0.03518436476588249,0.5889860391616821,0.023730015382170677,0.0,0.0,0.2,0.8
C0000192,0.03776250034570694,0.00808606669306755,0.07302500307559967,0.010304846800863743,0.04307500272989273,0.007801563013345003,0.43191996216773987,0.04064135625958443,0.8169722557067871,0.03821268305182457,-0.7095047235488892,0.04295986518263817,0.6893385052680969,0.060848213732242584,0.7095034122467041,0.042959827929735184,0.0,0.0,0.2,0.8
C0000193,0.0336192324757576,0.002947133034467697,0.06096538528800011,0.005801520776003599,0.03802884742617607,0.005261912941932678,0.4136999845504761,0.0253700390458107,0.8303850889205933,0.02986009605228901,-0.7418607473373413,0.03322868421673775,0.6754938960075378,0.04910053312778473,0.7418591380119324,0.033228665590286255,0.0,0.0,0.26,0.74
C0000194,0.04875499755144119,0.008199149742722511,0.0764549970626831,0.013520905748009682,0.0753883421421051,0.025150218978524208,0.3282966911792755,0.0603141114115715,0.6132122278213501,0.15650804340839386,-0.6100062727928162,0.10739497095346451,0.45059263706207275,0.16033849120140076,0.610004723072052,0.10739488154649734,0.0,0.0,0.3,0.7
C0000195,0.071554996073246,0.00694303447380662,0.10531500726938248,0.008104044012725353,0.14093999564647675,0.02953188680112362,0.26640501618385315,0.057186517864465714,0.2974753677845001,0.16077250242233276,-0.42168134450912476,0.08892624825239182,0.20549491047859192,0.15706685185432434,0.42168012261390686,0.08892617374658585,0.0,0.0,0.3,0.7
C0000196,0.044413335621356964,0.010627378709614277,0.06785333156585693,0.014578746631741524,0.056183330714702606,0.021668381989002228,0.2993600070476532,0.08295197039842606,0.667538046836853,0.13623762130737305,-0.6159034371376038,0.10432282090187073,0.4631010890007019,0.16563057899475098,0.6159017086029053,0.10432274639606476,0.0,0.0,0.3,0.7
C0000197,0.05960512161254883,0.012575370259582996,0.09083333611488342,0.01265584584325552,0.08918460458517075,0.028025707229971886,0.33311280608177185,0.09128233790397644,0.5540496706962585,0.17228399217128754,-0.5536351799964905,0.1011628657579422,0.4296760559082031,0.19929444789886475,0.5536338090896606,0.101162850856781,0.0,0.0,0.39,0.61
C0000198,0.06326000392436981,0.008554408326745033,0.09860000014305115,0.008037537336349487,0.09815750271081924,0.019443314522504807,0.3314250111579895,0.036109451204538345,0.5395858287811279,0.10025452077388763,-0.5378330945968628,0.05913717672228813,0.4048171639442444,0.0996425598859787,0.5378319025039673,0.059137120842933655,0.0,0.0,0.4,0.6
C0000199,0.06572999805212021,0.015437877736985683,0.10548875480890274,0.012443872168660164,0.09710625559091568,0.0344376415014267,0.3217950165271759,0.10928074270486832,0.4977162778377533,0.23445791006088257,-0.4704943597316742,0.1648027002811432,0.39403799176216125,0.23569712042808533,0.47049322724342346,0.16480253636837006,0.0,0.0,0.4,0.6
C0000200,0.06371097266674042,0.006890189368277788,0.11357805132865906,0.01461825706064701,0.08828048408031464,0.017697535455226898,0.34461095929145813,0.05647905170917511,0.5811615586280823,0.13224798440933228,-0.49813657999038696,0.07293765991926193,0.4595943093299866,0.1296890527009964,0.49813541769981384,0.07293758541345596,0.0,0.0,0.41,0.5900000000000001
C0000201,0.06594200432300568,0.009326614439487457,0.12622199952602386,0.022584661841392517,0.07924399524927139,0.01566707342863083,0.4292370080947876,0.02258922904729843,0.6877098083496094,0.064422607421875,-0.5466141104698181,0.07253896445035934,0.6208786964416504,0.06828982383012772,0.5466130375862122,0.0725388154387474,0.0,0.0,0.5,0.5
C0000202,0.034710999578237534,0.0051973676308989525,0.056984998285770416,0.014615578576922417,0.031790003180503845,0.006841023452579975,0.4178650379180908,0.04919871687889099,0.8584771752357483,0.02768002636730671,-0.7623512148857117,0.0399329736828804,0.7142361998558044,0.06838290393352509,0.762349545955658,0.03993280231952667,0.0,0.0,0.5,0.5
C0000203,0.039299000054597855,0.0065892525017261505,0.062300000339746475,0.013811505399644375,0.03933100029826164,0.011178837157785892,0.37016305327415466,0.05016099289059639,0.807534396648407,0.050406306982040405,-0.712228536605835,0.04891883581876755,0.6298376321792603,0.07916896790266037,0.7122268676757812,0.0489187128841877,0.0,0.0,0.5,0.5
C0000204,0.06402547657489777,0.02477419190108776,0.09320282191038132,0.024756522849202156,0.09525000303983688,0.04083315283060074,0.3257782757282257,0.07233922928571701,0.5390855073928833,0.1937713623046875,-0.5445040464401245,0.12742853164672852,0.4063403606414795,0.16628754138946533,0.5445026755332947,0.1274283230304718,0.28,0.0,0.25,0.47
C0000205,0.06907249242067337,0.01863153465092182,0.08650334179401398,0.018588384613394737,0.09047332406044006,0.023029828444123268,0.22569166123867035,0.04271191731095314,0.4229140281677246,0.13758239150047302,-0.4415140151977539,0.10876830667257309,0.2690826952457428,0.10364336520433426,0.4415125548839569,0.10876800864934921,0.52,0.0,0.08,0.4
